Name,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9
05ba3f17ddd250aa37ce1b44c98a0c5e, ES 631 , IN 791, ME 798 , IN 791 , FP 602 ,,,,
ee794e0327d505249ca5fa6ff3c4d076, ES 615 , MA 501 , MS 204 , CS 699 , MA 632 ,,,,
f0654510bb4d82c170c49cbd18e2b2ee, CE 613 , CE 622 , ES 622 , MA 602 ,,,,,
692254235b8c1932564726ddcb51ccc1, CG 601 ,,,,,,,,
fcb680e2e469d0f90875303e86b622b4, ES 631 , ME 605 , CL 699 , HS 508 ,,,,,
d657eefa4888eaa74f3af4624b60da89, ES 221 , CE 202 , ES 202 , ES 212 , HS 201 , MA 202 ,,,
fa04a2b268f46d22e1b27f94d3df4fd9, CH 301 , MS 304 , BE 402 , ES 654 ,,,,,
065ead066bcfc49d559d8ca75e5987e3, MSE 799 , MSE 798 ,,,,,,,
ea6a75732c7e356967fad765cf209e64, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
c043e0c9e784533c2335d6091160975e, PH 504 , PH 505 , PH 506 , PH 507 , PH 499 , PH 599 ,,,
835b078ab06766a472adff112970e497, HSS 799 ,,,,,,,,
9a52c57b9520f76bf523f5c0df6a993b, CE 402 , ES 105 , HS 103 , IN 302 , PH 101 , HS 515 , CE 499 ,,
9da40068ffda750de27ff49f5ca937b4, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
fb5d337532ed646f269d5763914a57a0, ES 202 , ES 301 , HS 201 , MA 202 , ES 215 , ES 214 , MS 304 ,,
a2c87f6680c5632197351832c5e28a23, ME 332 , MS 304 , MS 406 , ES 215 ,,,,,
9fe17fa86181c712d06da39e3f26d0f6, CL 321 , CL 352 , CL 422 , CL 424  , CH 517 , MS 204 , HS 515 ,,
8c4dd472328190801d61f07aebea838b, ES 332 , ME 322 , ME 332 , ME 352 , ME 391 , MS 304 , ME 499 ,,
b7fff5e700d0aaa6d829851dd345aa25, HSS 799 ,,,,,,,,
d25111ea307804aec1ada0280133067e, CH 301 , HS 103 , HS 111 , BE 402 ,,,,,
8cd7c9b4bf46bb2e35f7687337d2edc2, CH 799 ,,,,,,,,
2d98b351a7940e82b7886781e3f85f5d, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
02133a84dcc19bb0ff89099b453a2df5, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
be8f795f763ec0a2557842e911942d85, CL 799 ,,,,,,,,
2220eb4055d3290dbdacdc43832b1717, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
597e518fe845c9be1024a5764a6017ac, HS 514 , BE 402 ,,,,,,,
2bb747b3e237c6cdf4efde2889461821, MSE 699 ,,,,,,,,
e21be60162d7a4dad70c48255160092d, HS 103 , HS 112 , MS 204 , HS 104(R) ,,,,,
67d036044113f8b40de727bed3d3c6e0, ES 622 , MA 602 , ES 632 , ME 699 ,,,,,
07d702c8fd723053093196d2d5848d98, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 ,,,,
46820a978a3dfbf860e291ca988cd409, EE 333 , EE 341 , EE 611 , ES 332 , MS 204 ,,,,
dcdfebcc35d2685345ba01ac79c2fb59, MA 602 , MA 605 , MA 599 , MA 629 , FP 602 ,,,,
729ca5ebd43ffc740b0495ab169383e8, CH 301 , HS 635 , MS 204 ,,,,,,
9da9489566cb5064590eb8153df595e0, CH 512 , CH 622 , HS 111 , CH 508 , CH 519 , CH 521 ,,,
ffc1bdc1a2ea8f95dba9b84ae6a85b59, MA 602 , EE 699 , EE 651 , ES 215 ,,,,,
75bcd10d21b56f55f0df9e8148a3495d, EE 331 , ES 202 , HS 201 , MA 202 , ES 216 , Systems and Networks,,,
ded4eb99cda9a3c5c881e9e059a8671d, CH 301 , ES 221 , HS 104(R) , HS 223 ,,,,,
374e37343dc28e42c12680e2762ae95b, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
7b67d231311f0aa3d9c1aebda480d0a5, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
