Name,Year,ProgramName,Discipline,Course
12e66d78c922ed1fa2cf4ce095856854,1821,M.Tech,Earth System Science," CE 605 - Remote Sensing of Land and Water Resources, EH 602 - River Morphology and Ecology, ES 652 - Contaminant Transport And Remediation, EH 302 - Elements of Earth System Science, EH 301 - Field Practices in Earth System Sciences"
5e43c287605fc5af5f83b06c17348540,1331,Ph.D,Humanities and Social Science, HSS 799 - Ph.D Thesis
78a79233166838d50f3e9a29dd59a354,1811,B.Tech,Electrical Engineering," ES 104 - Introduction To Analog And Digital Electronics, ES 105 - Electrical and Electronics Lab, ES 106 - Manufacturing and Workshop Practice, FP 101 - Introduction to Engineering, HS 151 - Economics, MA 102 - Mathematics II, PH 101 - Physics, PE 102 - Physical Education, CH 202 - Chemistry Laboratory"
b8ccbace034850ef8ac28dce4dadc8d9,1821,M.Tech,Civil Engineering," CE 605 - Remote Sensing of Land and Water Resources, MA 602 - Advanced Numerical Methods in Engineering, CE 631 - Irrigation Engineering And Hydraulic Structures, ES 652 - Contaminant Transport And Remediation"
19f2e10346de798e1a8e836c7d21d84f,1852,M.A,Humanities and Social Science," HS 631 - Digital Cultures and New Media, HS 644 - Critical Perspectives On Sociology And Anthropology, HS 599(A) - Project in HSS (A), HS 513 - Perspectives In History, MA 632 - Applied Statistics, FP 602 - Writing"
96511e1b8e7a00a225811e94788c94b1,1511,B.Tech,Civil Engineering," CE 304 - Concrete Design, CH 301 - Forensic Chemistry, CE 403 - Construction Technology &amp; Management, HS 642 - Structures and Hydrology in Ancient India"
2d98b351a7940e82b7886781e3f85f5d,1811,B.Tech,Electrical Engineering," ES 104 - Introduction To Analog And Digital Electronics, ES 105 - Electrical and Electronics Lab, ES 106 - Manufacturing and Workshop Practice, FP 101 - Introduction to Engineering, HS 151 - Economics, MA 102 - Mathematics II, PH 101 - Physics, PE 102 - Physical Education, CH 202 - Chemistry Laboratory"
c0c91a52257826bc4663fedcebfdd08e,1611,B.Tech,Civil Engineering," CE 304 - Concrete Design, CE 305 - Steel Design, CE 306 - Civil Engineering Materials Lab, CE 307 - Masonry Design, CH 301 - Forensic Chemistry, HS 112 - Urdu Poetry Interpretation, CE 309 - Field Survey Project, BE 402 - Biomolecular Forensics"
42eb47fc44db1189f01f493a917c9362,1331,Ph.D,Materials Science & Engineering," MSE 799 - Ph.D Thesis, MSE 798 - Seminar"
5074983e7e2f4388cfcf40ee55e67f1f,1511,B.Tech,Chemical Engineering," CL 324 - Introduction to Polymer Science and Engineering, ES 631 - Advanced Heat Transfer, ES 632 - Energy Systems, CH 499 - Project Course, HS 104(R) - Foundational Sanskrit, BE 403 - 
Stem Cells: Science and Applications"
5d1a95852276c4ee36320b7358eb8477,1711,B.Tech,Chemical Engineering," ES 221 - Mechanics of Solids, CL 251 - Fluid Mechanics Lab, ES 202 - Introduction to Materials, ES 212 - Fluid Mechanics, HS 112 - Urdu Poetry Interpretation, HS 201 - World Civilizations and Cultures, MA 202 - Mathematics IV"
b36770382b9cb5da3c82c4e792555725,1435,Ph.D,Electrical Engineering," EE 799 - Ph.D Thesis, EE 798 - Seminar"
707bc19fa7c24702c4dd752bb1801e18,1531,Ph.D,Chemistry, CH 799 - Ph.D Thesis
17df86a9b22e436cfc1da93e320026a8,1651,Ph.D,Physics," PH 607 - Topics in Quantum and Statistical Mechanics, PH 799 - Ph.D Thesis, PH 798 - Seminar"
1c1606d8b9c232807c5e5b5a714d6502,1852,M.A,Humanities and Social Science," HS 491 - Special Topics in Humanities and Social Sciences, HS 644 - Critical Perspectives On Sociology And Anthropology, HS 599(A) - Project in HSS (A), HS 513 - Perspectives In History, MA 632 - Applied Statistics, FP 602 - Writing"
c043e0c9e784533c2335d6091160975e,1851,M.Sc,Physics," PH 504 - Quantum Mechanics II, PH 505 - Classical Electrodynamics, PH 506 - Methods of Experimental Physics, PH 507 - Statistical Mechanics , PH 499 - Project Course, PH 599 - Project in Physics"
83b56332e985f4b9e034cc3138b282f8,1411,B.Tech-M.Tech Dual Degree,Comp Science & Engg, CS 699 - M.Tech Thesis
cd5610abe85e218a164c18eec1a3e27b,1435,Ph.D,Materials Science & Engineering, MSE 799 - Ph.D Thesis
a7b90c6919b9c48cd9297a07fdebbfed,1511,B.Tech,Materials Science & Engineering," MSE 630 - Kinetics of Materials, MS 204 - Business Communications, MSE 499 - Project Course"
d14134fd5a4ffc058601840d27202cf3,1851,M.Sc,Mathematics," MA 501 - Basic Algebra, MA 502 - Complex Analysis, MA 510 - Topology, MA 622 - Measure Theory, Ma 624 - Partial Differential Equations"
3991a8139990f67a8dbb958dcd8257b6,1611,B.Tech,Electrical Engineering," EE 333 - Power Electronics, EE 341 - Communication Systems, ES 332 - Control Theory, EE 399 - Project Course"
7638207dc7c54fcb091557bdc83b5045,1611,B.Tech,Civil Engineering," CE 304 - Concrete Design, CE 305 - Steel Design, CE 306 - Civil Engineering Materials Lab, CE 307 - Masonry Design, HS 112 - Urdu Poetry Interpretation, CE 309 - Field Survey Project, CH 517 - Bioinorganic Chemistry"
be79e116d74a9a78acd6392b46bfa0d8,1511,B.Tech,Civil Engineering," CE 491 - Special Topics in Civil Engineering, CE 631 - Irrigation Engineering And Hydraulic Structures, ES 652 - Contaminant Transport And Remediation"
75e967fa15c075545680bf62b06c2e71,1811,B.Tech,Materials Science & Engineering," ES 104 - Introduction To Analog And Digital Electronics, ES 105 - Electrical and Electronics Lab, ES 106 - Manufacturing and Workshop Practice, FP 101 - Introduction to Engineering, HS 151 - Economics, MA 102 - Mathematics II, PH 101 - Physics, PE 102 - Physical Education, CH 202 - Chemistry Laboratory"
6046b87973282161208fe4c798531a58,1711,B.Tech,Electrical Engineering," EE 331 - Electrical Machines, ES 202 - Introduction to Materials, HS 201 - World Civilizations and Cultures, MA 202 - Mathematics IV, ES 215 - Computer Organization And Architecture, ES 216 - Signals, Systems and Networks"
727f4d4d288c5341e4d0366f41567092,1721,M.Tech,Chemical Engineering," CL 699 - M.Tech Thesis, MS 304 - Organizational Behaviour &amp; Human Resource Management"
