Course_Code,No_students
 ES 105 ,205
 HS 151 ,203
 PH 101 ,203
 ES 104 ,199
 MA 102 ,198
 FP 602 ,196
 ES 106 ,191
 CH 202 ,191
 PE 102 ,189
 FP 101 ,188
 MA 202 ,175
 HS 201 ,172
 ES 202 ,149
 MA 602 ,127
 ES 212 ,115
 ES 221 ,108
 CH 301 ,107
 MS 204 ,103
 BE 402 ,99
 CH 517 ,86
 ES 332 ,56
 ES 215 ,56
 ES 301 ,52
 MS 304 ,49
 ES 214 ,48
 EE 331 ,45
 MA 501 ,45
 HS 599(A) ,42
 MA 632 ,41
ES 216,41
 ME 699 ,40
 ES 622 ,39
 HS 635 ,39
 EE 341 ,39
 ES 615 ,39
 HS 103 ,39
 ME 332 ,38
 HS 104(R) ,38
 ME 322 ,36
 EE 333 ,36
 HS 112 ,36
 HS 513 ,36
 CE 304 ,36
 ME 352 ,34
 HS 642 ,34
 CE 307 ,33
 CE 305 ,33
 ME 391 ,33
 Ma 624 ,32
 HS 644 ,32
 MA 502 ,32
 HS 515 ,32
 HS 508 ,32
 HS 631 ,32
 EE 799 ,31
 MA 510 ,31
 PH 507 ,31
 EE 699 ,31
 CH 799 ,31
 CH 632 ,30
 PH 505 ,30
 HS 223 ,29
 BE 699 ,29
 CL 602 ,28
 CL 251 ,28
 CE 309 ,28
 CL 321 ,28
 PH 506 ,28
 CE 306 ,28
 CE 631 ,28
 CH 508 ,28
 MA 622 ,28
 CH 622 ,27
 HS 111 ,27
 EH 608 ,27
 PH 504 ,27
 HS 514 ,26
 ES 632 ,26
 MS 406 ,26
 IN 302 ,25
 CE 799 ,25
 HS 421 ,25
 BE 799 ,25
 MA 599 ,25
 MSE 309 ,25
 MSE 352 ,24
 CL 604 ,24
 PH 599 ,24
 MSE 201 (N) ,24
 CL 422 ,23
 MSE 307 ,23
 CH 521 ,23
 MSE 699 ,23
 MSE 302(N) ,23
 PH 599 (B) ,22
 CE 403 ,22
 PH 599 (C) ,22
 CH 519 ,22
 PH 599(A) ,22
 CL 699 ,22
 CE 202 ,21
 CS 699 ,21
 CL 352 ,21
 CL 424  ,21
 CE 699 ,21
 ME 399 ,21
 HS 599(B) ,20
 CE 622 ,20
 CE 402 ,20
 EE 651 ,20
 CL 799 ,20
 HS 599(C) ,20
 MSE 799 ,20
 CH 512 ,19
 HS 422,18
 MA 623 ,18
 CG 501 ,18
 HS 507,17
 MSE 628  ,17
 ES 643 ,17
 CG 599C ,16
 ME 626 ,16
 CE 605 ,16
 MSE 626 ,15
 CG 506 ,15
 CH 599 (C) ,15
 CG 599B ,15
 ES 652 ,15
 PH 614 ,15
 CG 599A ,15
 CG 599D ,14
 ES 631 ,14
 PH 615 ,14
 CH 599 (B) ,14
 ES 654 ,14
 HS 517 ,14
 MSE 630 ,13
 HSS 799 ,13
 CE 613 ,13
 HS 305 ,13
 BE 608 ,13
 CH 629 ,12
 CE 629 ,12
 ME 799 ,12
 CG 799 ,12
 CE 798 ,11
 ES 641 ,11
 HS 423 ,11
 PH 799 ,11
 CG 601 ,10
 ES 616 ,10
 BE 605 ,10
 MSE 399 ,9
 ES 608 ,9
 CE 602 ,9
 CH 499 ,9
 MA 629 ,9
 CE 626 ,9
 CL 324 ,9
 BE 611 ,9
 EE 609 ,9
 HS 648 ,8
 BE 691 ,8
 ME 640 ,8
 ES 634 ,8
 MA 605 ,8
 ME 605 ,8
 EE 611 ,8
 CG 507 ,7
 ME 628 ,7
 PH 607 ,7
 MA 799 ,7
 HS 406 ,7
 IN 700 ,7
 CS 799 ,7
 CG 608 ,6
 EE 399 ,6
 ME 499 ,6
 ES 637 ,6
 HS 599(D) ,6
 HS 499 ,6
 EH 602 ,6
 EE 798 ,6
 ES 648 ,6
 CG 604,5
 CH 502 ,5
 PH 499 ,5
 CS 399 ,5
 MA 625 ,5
 MSE 798 ,5
 BE 798 ,5
 CG 603 ,4
 PH 798 ,4
 ES 404 ,4
 BE 601 ,4
 BE 403 ,4
 CL 399 ,4
 MSE 499 ,4
 EH 302 ,4
 EE 499 ,4
 DES 499 ,3
 CE 499 ,3
 HS 399 ,3
 CG 605 ,3
 MS 499 ,3
 EH 799 ,3
 EE 691 ,3
 CH 798 ,3
 HS 491 ,3
 CH 399 ,3
 CL 499 ,3
 EH 301 ,3
 CS 432 ,2
 ME 798 ,2
 CS 691 ,2
 CH 599 ,2
 ME 606 ,2
 CS 328 ,2
 CS 327 ,2
 CS 499 ,2
 CS 491 ,1
 EH 699 ,1
 ES 333 ,1
 CE 399 ,1
 PH 691 ,1
 HS 691 ,1
 PH 591 ,1
 EH 798 ,1
 HS 798 ,1
 CE 491 ,1
 MSE 491 ,1
 CE 691 ,1
 CH 599 (A) ,1
 PH 399 ,1
 CH 491 ,1
