Name,Year,ProgramName,Discipline,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,,,,,,,
12e66d78c922ed1fa2cf4ce095856854,1821,M.Tech,Earth System Science, CE 605 , EH 602 , ES 652 , EH 302 , EH 301 ,,,,,,,,,,,
5e43c287605fc5af5f83b06c17348540,1331,Ph.D,Humanities and Social Science, HSS 799 ,,,,,,,,,,,,,,,
78a79233166838d50f3e9a29dd59a354,1811,B.Tech,Electrical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
b8ccbace034850ef8ac28dce4dadc8d9,1821,M.Tech,Civil Engineering, CE 605 , MA 602 , CE 631 , ES 652 ,,,,,,,,,,,,
19f2e10346de798e1a8e836c7d21d84f,1852,M.A,Humanities and Social Science, HS 631 , HS 644 , HS 599(A) , HS 513 , MA 632 , FP 602 ,,,,,,,,,,
96511e1b8e7a00a225811e94788c94b1,1511,B.Tech,Civil Engineering, CE 304 , CH 301 , CE 403 , HS 642 ,,,,,,,,,,,,
2d98b351a7940e82b7886781e3f85f5d,1811,B.Tech,Electrical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
c0c91a52257826bc4663fedcebfdd08e,1611,B.Tech,Civil Engineering, CE 304 , CE 305 , CE 306 , CE 307 , CH 301 , HS 112 , CE 309 , BE 402 ,,,,,,,,
42eb47fc44db1189f01f493a917c9362,1331,Ph.D,Materials Science & Engineering, MSE 799 , MSE 798 ,,,,,,,,,,,,,,
5074983e7e2f4388cfcf40ee55e67f1f,1511,B.Tech,Chemical Engineering, CL 324 , ES 631 , ES 632 , CH 499 , HS 104(R) , BE 403 ,,,,,,,,,,
5d1a95852276c4ee36320b7358eb8477,1711,B.Tech,Chemical Engineering, ES 221 , CL 251 , ES 202 , ES 212 , HS 112 , HS 201 , MA 202 ,,,,,,,,,
b36770382b9cb5da3c82c4e792555725,1435,Ph.D,Electrical Engineering, EE 799 , EE 798 ,,,,,,,,,,,,,,
707bc19fa7c24702c4dd752bb1801e18,1531,Ph.D,Chemistry, CH 799 ,,,,,,,,,,,,,,,
17df86a9b22e436cfc1da93e320026a8,1651,Ph.D,Physics, PH 607 , PH 799 , PH 798 ,,,,,,,,,,,,,
1c1606d8b9c232807c5e5b5a714d6502,1852,M.A,Humanities and Social Science, HS 491 , HS 644 , HS 599(A) , HS 513 , MA 632 , FP 602 ,,,,,,,,,,
c043e0c9e784533c2335d6091160975e,1851,M.Sc,Physics, PH 504 , PH 505 , PH 506 , PH 507 , PH 499 , PH 599 ,,,,,,,,,,
83b56332e985f4b9e034cc3138b282f8,1411,B.Tech-M.Tech Dual Degree,Comp Science & Engg, CS 699 ,,,,,,,,,,,,,,,
cd5610abe85e218a164c18eec1a3e27b,1435,Ph.D,Materials Science & Engineering, MSE 799 ,,,,,,,,,,,,,,,
a7b90c6919b9c48cd9297a07fdebbfed,1511,B.Tech,Materials Science & Engineering, MSE 630 , MS 204 , MSE 499 ,,,,,,,,,,,,,
d14134fd5a4ffc058601840d27202cf3,1851,M.Sc,Mathematics, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 ,,,,,,,,,,,
3991a8139990f67a8dbb958dcd8257b6,1611,B.Tech,Electrical Engineering, EE 333 , EE 341 , ES 332 , EE 399 ,,,,,,,,,,,,
7638207dc7c54fcb091557bdc83b5045,1611,B.Tech,Civil Engineering, CE 304 , CE 305 , CE 306 , CE 307 , HS 112 , CE 309 , CH 517 ,,,,,,,,,
be79e116d74a9a78acd6392b46bfa0d8,1511,B.Tech,Civil Engineering, CE 491 , CE 631 , ES 652 ,,,,,,,,,,,,,
75e967fa15c075545680bf62b06c2e71,1811,B.Tech,Materials Science & Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
6046b87973282161208fe4c798531a58,1711,B.Tech,Electrical Engineering, EE 331 , ES 202 , HS 201 , MA 202 , ES 215 ,ES 216,,,,,,,,,,
727f4d4d288c5341e4d0366f41567092,1721,M.Tech,Chemical Engineering, CL 699 , MS 304 ,,,,,,,,,,,,,,
fcb680e2e469d0f90875303e86b622b4,1721,M.Tech,Chemical Engineering, ES 631 , ME 605 , CL 699 , HS 508 ,,,,,,,,,,,,
320ea48fe104a3f648cc8bcb0e1854fd,1711,B.Tech,Chemical Engineering, ES 221 , CL 251 , ES 202 , ES 212 , HS 201 , MA 202 ,,,,,,,,,,
09020cb0899c924d0d349ddd26e55319,1431,Ph.D,Chemistry, CH 799 ,,,,,,,,,,,,,,,
6455f70230c41cc4ff40543f1a72e0ae,1852,M.A,Humanities and Social Science, HS 644 , HS 599(A) , HS 513 , FP 602 , MS 304 ,,,,,,,,,,,
4ce48c860342b48edeb206ece3255c1a,1821,M.Tech,Chemical Engineering, CL 324 , CL 602 , CL 604 , MA 602 , MS 304 ,,,,,,,,,,,
28980491258a1c42580087159f9cbc02,1811,B.Tech,Electrical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
89ca430012d4d68e334b22ce668f09bf,1611,B.Tech,Mechanical Engineering, ES 332 , HS 631 , ME 322 , ME 332 , ME 352 , ME 391 ,,,,,,,,,,
761ace028a4dcd6beddcb77c4cb9e3fe,1751,M.Sc,Mathematics, MA 602 , MA 599 , FP 602 ,,,,,,,,,,,,,
16fc5ba6dc751894b75abcffc70120aa,1751,M.Sc,Cognitive Sciences, CG 599B , CG 599C , CG 599A , MS 204 , CG 599D , FP 602 ,,,,,,,,,,
